MA0975.1	AP2/EREBP	JASPAR_plants
MA0976.2	AP2/EREBP	JASPAR_plants
MA1376.1	AP2/EREBP	JASPAR_plants
MA1366.1	Tryptophan cluster factors	JASPAR_plants
MA1192.1	Tryptophan cluster factors	JASPAR_plants
MA1279.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1275.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1277.1	Other C4 zinc finger-type factors	JASPAR_plants
MA0981.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1272.2	Other C4 zinc finger-type factors	JASPAR_plants
MA0982.1	Other C4 zinc finger-type factors	JASPAR_plants
MA0977.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1270.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1278.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1276.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1274.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1273.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1747.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1269.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1281.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1071.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1280.1	Other C4 zinc finger-type factors	JASPAR_plants
MA0983.1	Other C4 zinc finger-type factors	JASPAR_plants
MA0984.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1267.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1338.2	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA0971.1	AP2/EREBP	JASPAR_plants
MA1669.1	AP2/EREBP	JASPAR_plants
MA1670.1	AP2/EREBP	JASPAR_plants
MA1218.1	AP2/EREBP	JASPAR_plants
MA0978.1	AP2/EREBP	JASPAR_plants
MA1748.1	AP2/EREBP	JASPAR_plants
MA1032.1	AP2/EREBP	JASPAR_plants
MA1258.1	AP2/EREBP	JASPAR_plants
MA0986.1	AP2/EREBP	JASPAR_plants
MA1250.1	AP2/EREBP	JASPAR_plants
MA1243.1	AP2/EREBP	JASPAR_plants
MA1242.1	AP2/EREBP	JASPAR_plants
MA1226.1	AP2/EREBP	JASPAR_plants
MA0580.1	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA0020.1	Other C4 zinc finger-type factors	JASPAR_plants
MA0021.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1414.1	Fork head/winged helix factors	JASPAR_plants
MA1749.1	Fork head/winged helix factors	JASPAR_plants
MA1732.1	Fork head/winged helix factors	JASPAR_plants
MA1750.1	Fork head/winged helix factors	JASPAR_plants
MA1167.1	Tryptophan cluster factors	JASPAR_plants
MA1751.1	""	JASPAR_plants
MA1813.1	EIL	JASPAR_plants
MA1236.1	AP2/EREBP	JASPAR_plants
MA0979.1	AP2/EREBP	JASPAR_plants
MA2011.1	AP2/EREBP	JASPAR_plants
MA1219.2	AP2/EREBP	JASPAR_plants
MA1248.1	AP2/EREBP	JASPAR_plants
MA1260.1	AP2/EREBP	JASPAR_plants
MA1222.1	AP2/EREBP	JASPAR_plants
MA1265.2	AP2/EREBP	JASPAR_plants
MA1234.1	AP2/EREBP	JASPAR_plants
MA1048.1	AP2/EREBP	JASPAR_plants
MA1424.1	AP2/EREBP	JASPAR_plants
MA1233.2	AP2/EREBP	JASPAR_plants
MA1259.1	AP2/EREBP	JASPAR_plants
MA2012.1	AP2/EREBP	JASPAR_plants
MA1752.1	AP2/EREBP	JASPAR_plants
MA1227.2	AP2/EREBP	JASPAR_plants
MA1229.1	AP2/EREBP	JASPAR_plants
MA1223.1	AP2/EREBP	JASPAR_plants
MA1253.1	AP2/EREBP	JASPAR_plants
MA1230.1	AP2/EREBP	JASPAR_plants
MA1238.2	AP2/EREBP	JASPAR_plants
MA0995.2	AP2/EREBP	JASPAR_plants
MA1241.1	AP2/EREBP	JASPAR_plants
MA1232.1	AP2/EREBP	JASPAR_plants
MA1263.1	AP2/EREBP	JASPAR_plants
MA1753.1	AP2/EREBP	JASPAR_plants
MA0997.1	AP2/EREBP	JASPAR_plants
MA1754.1	AP2/EREBP	JASPAR_plants
MA1252.1	AP2/EREBP	JASPAR_plants
MA1247.1	AP2/EREBP	JASPAR_plants
MA1228.1	AP2/EREBP	JASPAR_plants
MA1049.1	AP2/EREBP	JASPAR_plants
MA1264.1	AP2/EREBP	JASPAR_plants
MA0998.1	AP2/EREBP	JASPAR_plants
MA1240.1	AP2/EREBP	JASPAR_plants
MA1239.1	AP2/EREBP	JASPAR_plants
MA1000.2	AP2/EREBP	JASPAR_plants
MA1053.1	AP2/EREBP	JASPAR_plants
MA1001.3	AP2/EREBP	JASPAR_plants
MA1245.2	AP2/EREBP	JASPAR_plants
MA2013.1	AP2/EREBP	JASPAR_plants
MA1671.1	AP2/EREBP	JASPAR_plants
MA1261.1	AP2/EREBP	JASPAR_plants
MA1004.1	AP2/EREBP	JASPAR_plants
MA1231.2	AP2/EREBP	JASPAR_plants
MA0567.1	AP2/EREBP	JASPAR_plants
MA1262.1	AP2/EREBP	JASPAR_plants
MA1005.2	AP2/EREBP	JASPAR_plants
MA0992.2	AP2/EREBP	JASPAR_plants
MA1225.1	AP2/EREBP	JASPAR_plants
MA1006.1	AP2/EREBP	JASPAR_plants
MA0993.1	AP2/EREBP	JASPAR_plants
MA0994.2	AP2/EREBP	JASPAR_plants
MA1257.1	AP2/EREBP	JASPAR_plants
MA0128.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1382.1	GCM domain factors	JASPAR_plants
MA0557.1	GCM domain factors	JASPAR_plants
MA0558.1	MADS box factors	JASPAR_plants
MA0565.2	B3	JASPAR_plants
MA1408.1	Tryptophan cluster factors	JASPAR_plants
MA1373.1	C2H2 zinc finger factors	JASPAR_plants
MA1013.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1014.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1015.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1325.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1016.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1323.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1324.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1755.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1396.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1017.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1018.1	Other C4 zinc finger-type factors	JASPAR_plants
MA1672.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1351.2	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1808.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1809.1	CH3	JASPAR_plants
MA1810.1	B3	JASPAR_plants
MA1811.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1815.1	CH3	JASPAR_plants
MA2016.1	C3H zinc finger factors	JASPAR_plants
MA1756.1	CH3	JASPAR_plants
MA1020.1	Tryptophan cluster factors	JASPAR_plants
MA1208.1	Tryptophan cluster factors	JASPAR_plants
MA1207.1	Tryptophan cluster factors	JASPAR_plants
MA1368.2	Tryptophan cluster factors	JASPAR_plants
MA1661.1	Tryptophan cluster factors	JASPAR_plants
MA0034.1	Tryptophan cluster factors	JASPAR_plants
MA1019.1	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA1024.1	Homeo domain factors	JASPAR_plants
MA1198.1	Homeo domain factors	JASPAR_plants
MA1210.2	Homeo domain factors	JASPAR_plants
MA0008.3	Homeo domain factors	JASPAR_plants
MA1025.1	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA1369.1	Homeo domain factors	JASPAR_plants
MA0990.1	Homeo domain factors	JASPAR_plants
MA1757.1	Homeo domain factors	JASPAR_plants
MA1390.2	Tryptophan cluster factors	JASPAR_plants
MA1386.2	Tryptophan cluster factors	JASPAR_plants
MA1164.1	Tryptophan cluster factors	JASPAR_plants
MA1165.2	Tryptophan cluster factors	JASPAR_plants
MA1387.1	Tryptophan cluster factors	JASPAR_plants
MA2019.1	Heat shock factors	JASPAR_plants
MA1758.1	Heat shock factors	JASPAR_plants
MA1759.1	Heat shock factors	JASPAR_plants
MA1760.1	Heat shock factors	JASPAR_plants
MA1664.2	Heat shock factors	JASPAR_plants
MA1665.2	Heat shock factors	JASPAR_plants
MA1666.2	Heat shock factors	JASPAR_plants
MA1761.1	Heat shock factors	JASPAR_plants
MA2020.1	Heat shock factors	JASPAR_plants
MA1667.2	Heat shock factors	JASPAR_plants
MA0551.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1425.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1371.1	C2H2 zinc finger factors	JASPAR_plants
MA1370.1	C2H2 zinc finger factors	JASPAR_plants
MA1160.1	C2H2 zinc finger factors	JASPAR_plants
MA1374.1	C2H2 zinc finger factors	JASPAR_plants
MA1156.1	C2H2 zinc finger factors	JASPAR_plants
MA2017.1	GCM domain factors	JASPAR_plants
MA1027.1	Tryptophan cluster factors	JASPAR_plants
MA1383.1	Tryptophan cluster factors	JASPAR_plants
MA1028.1	Tryptophan cluster factors	JASPAR_plants
MA1398.2	Tryptophan cluster factors	JASPAR_plants
MA2021.1	Other C4 zinc finger-type factors	JASPAR_plants
